City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
299,Kotelnich,RU,58.3089,48.348,19.65,96,100,6.8,light snow
300,Calama,CL,-22.4667,-68.9333,70.29,21,4,20.71,clear sky
301,Mgachi,RU,51.05,142.2667,6.22,99,100,1.39,overcast clouds
302,Portland,US,45.5234,-122.6762,57.06,83,100,5.75,overcast clouds
303,Bereznik,RU,62.8551,42.7072,25.77,95,100,8.97,light snow
304,Namatanai,PG,-3.6667,152.4333,79.72,82,97,3.0,light rain
305,Camopi,GF,3.1655,-52.3158,74.39,97,100,3.02,overcast clouds
306,Valparaiso,CL,-33.0393,-71.6273,69.44,65,75,10.36,broken clouds
307,Haines Junction,CA,60.7522,-137.5108,28.35,34,42,8.05,scattered clouds
308,Fort Morgan,US,40.2503,-103.8,59.74,43,0,6.91,clear sky
309,Amio,PH,9.3571,122.9413,75.42,90,100,8.9,overcast clouds
310,Port-Gentil,GA,-0.7193,8.7815,81.25,79,100,4.88,overcast clouds
311,Chokurdakh,RU,70.6333,147.9167,-28.66,95,40,8.7,scattered clouds
312,Nanortalik,GL,60.1432,-45.2371,25.99,56,100,9.37,overcast clouds
313,Yazd,IR,31.8972,54.3675,50.11,17,0,4.61,clear sky
314,Hervey Bay,AU,-25.2986,152.8535,68.04,74,0,13.22,clear sky
315,Kieta,PG,-6.2167,155.6333,80.44,82,80,4.27,light rain
316,Tanout,NE,14.9709,8.8879,65.17,11,3,12.08,clear sky
317,Katsuura,JP,35.1333,140.3,37.11,93,100,22.97,overcast clouds
318,Alyangula,AU,-13.8483,136.4192,75.07,100,63,0.0,broken clouds
319,Vestmannaeyjar,IS,63.4427,-20.2734,37.54,55,100,17.65,overcast clouds
320,Alvdal,NO,62.1077,10.6307,24.64,88,52,4.85,broken clouds
321,Pietersburg,ZA,-23.9045,29.4688,70.65,60,47,2.3,scattered clouds
322,Gimli,CA,50.6336,-96.9907,28.13,93,100,8.05,overcast clouds
323,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,25.32,few clouds
324,Uttarkashi,IN,30.7333,78.45,39.9,41,0,7.67,clear sky
325,Lappeenranta,FI,61.0587,28.1887,28.54,89,0,8.05,clear sky
326,Cayenne,GF,4.9333,-52.3333,77.09,87,100,9.22,overcast clouds
327,Te Anau,NZ,-45.4167,167.7167,65.68,70,22,1.7,few clouds
328,Pantai Remis,MY,4.4557,100.6288,75.56,93,100,4.43,moderate rain
329,San Ramon,US,37.7799,-121.978,75.56,38,0,5.99,clear sky
330,Saldanha,ZA,-33.0117,17.9442,64.45,82,0,10.49,clear sky
331,Dobsice,CZ,48.8483,16.0822,48.74,68,70,11.16,broken clouds
332,Fougamou,GA,-1.2154,10.5838,74.75,95,94,1.36,light rain
333,Marsa Matruh,EG,31.3525,27.2453,55.6,58,40,11.5,scattered clouds
334,Colares,PT,38.7992,-9.4469,59.29,73,20,15.01,light rain
335,Acarau,BR,-2.8856,-40.12,81.05,72,86,10.49,overcast clouds
336,La Ronge,CA,55.1001,-105.2842,5.25,72,100,16.11,overcast clouds
337,Kupang,ID,-10.1667,123.5833,77.23,91,99,3.8,overcast clouds
338,Poum,NC,-20.2333,164.0167,81.07,83,100,26.4,overcast clouds
339,Talnakh,RU,69.4865,88.3972,-2.79,96,51,11.54,broken clouds
340,Teguldet,RU,57.3064,88.1667,-18.51,100,54,1.97,broken clouds
341,Lucapa,AO,-8.4192,20.7447,65.14,96,100,3.24,light rain
342,Ola,RU,59.5833,151.2833,-9.81,81,99,7.07,overcast clouds
343,Grindavik,IS,63.8424,-22.4338,32.47,69,75,20.71,broken clouds
344,Pueblo,US,38.2545,-104.6091,61.56,25,0,4.61,clear sky
