City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
594,Bucerias,MX,75.18,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
596,Domoni,KM,79.07,overcast clouds,-12.2569,44.5319,Al Djadid
599,Florianopolis,BR,78.26,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
600,Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
602,Vallenar,CL,79.95,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
606,Wamba,NG,75.33,clear sky,8.9333,8.6,Roma Zee Guest House Annex
617,Le Port,RE,75.2,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
618,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
621,Ecoporanga,BR,76.6,broken clouds,-18.3733,-40.8306,Ecoporanga - Esp. Santo - Pousada Tranquila
622,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
625,Vao,NC,81.05,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
627,Kikwit,CD,74.61,light rain,-5.041,18.8162,HOTEL PLACE YALABA
636,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
637,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
639,Mercedes,AR,89.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
640,Kuruman,ZA,70.0,broken clouds,-27.4524,23.4325,Cornerstone Guest House
641,Buin,CL,78.06,overcast clouds,-33.7333,-70.75,Paihuen
644,Bhatkal,IN,74.68,clear sky,13.9667,74.5667,Nilawar Palace
645,Dicabisagan,PH,74.1,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
646,De Aar,ZA,74.7,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
648,Mareeba,AU,70.45,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
649,Sao Jose Da Coroa Grande,BR,80.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
650,Upata,VE,87.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
651,Quixeramobim,BR,83.37,overcast clouds,-5.1992,-39.2928,"Pousada, Restaurante e Pizzaria Emídio"
652,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
655,Kilindoni,TZ,81.16,broken clouds,-7.9139,39.6668,Bustani B&B
659,Kontagora,NG,80.67,clear sky,10.3999,5.4695,Queens Guest Inn
662,Baiao,BR,77.83,moderate rain,-2.7906,-49.6717,Hotel Eurosono
668,Luganville,VU,80.91,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
669,Namibe,AO,73.65,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
670,Padang,ID,77.02,overcast clouds,-0.9492,100.3543,Mercure Padang
671,Maragogi,BR,80.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
679,Tres Arroyos,AR,81.81,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
680,Ranot,TH,79.65,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
681,Morro Bay,US,86.34,clear sky,35.3658,-120.8499,Inn at Morro Bay
685,Tshela,CD,72.37,clear sky,-4.9833,12.9333,Hotel Mirador
686,Hobyo,SO,75.61,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
693,Bourail,NC,79.23,moderate rain,-21.5667,165.4833,Motel Allamanda
695,Nakhon Thai,TH,76.26,broken clouds,17.1006,100.8374,Phet resort
698,Prainha,BR,78.96,broken clouds,-1.8,-53.48,Casa Rocha
700,Buenos Aires,AR,88.02,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
701,Port Keats,AU,76.96,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
707,Sao Felix Do Xingu,BR,76.71,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
